id,SimplifiedName,TraditionalName,PinyinName,CategoryName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id,CategoryCode
2021,唾,唾,tuò,气血津液精神,spittle,0,0,thicker saliva; the humor of the kidney,4,360.1011c
2022,先天之气,先天之氣,xiān tiān zhī qì,气血津液精神,innate qi,0,0,"the qi that exists from birth and is stored in the kidney, also the same as prenatal qi",4,360.1011c
2023,涎,涎,xián,气血津液精神,drool,0,0,thinner saliva; the humor of the spleen,4,360.1011c
2024,原气;兀气,原氣;兀氣,yuán qì ; wù qì,气血津液精神,source qi,0,0,"the combination of the innate qi and the acquired qi, serving as the most fundamental qi of the human body; the same as original/primordial qi",4,360.1011c
2025,脏气,髒氣,zàng qì,气血津液精神,visceral qi,0,0,(1) the qi that enables the viscera to perform their activities; (2) the functional activities of viscera,4,360.1011c
2026,真气,眞氣,zhēn qì,气血津液精神,genuine qi,0,0,"the combination of the innate qi and the acquired qi, serving as the physical substrata and dynamic force of all vital functions, also known as true qi",4,360.1011c
2027,临产,臨產,lín chǎn,藏象,0,childbirth; parturition; delivery,labor,0,5,360.1011d
2028,暗经,暗經,àn jīng,藏象,0,latent menstruation,latent menstruation,0,5,360.1011d
2029,百脉一宗,百脈一宗,bǎi mài yī zōng,藏象,0,all vessels are of the same origin,all vessels from same origin,0,5,360.1011d
2030,胞,胞,bāo,藏象,placenta,①uterus ②placenta ③urinary bladder ④eyelid,0,"one of the extraordinary organs lining the uterus during pregnancy by which the fetus is nourished, and from which it is expelled at birth",5,360.1011d
2031,胞宫,胞宮,bāo gōng,藏象,0,①uterus with appendages ②uterus,0,0,5,360.1011d
2032,胞门,胞門,bāo mén,藏象,0,①cervical orifice ②vaginal orifice,① cervical orifice ② vaginal orifice,0,5,360.1011d
2033,胞衣,胞衣,bāo yī,藏象,0,placenta,placenta,0,5,360.1011d
2034,变蒸,變蒸,biàn zhēng,藏象,growth fever,transmutation and steaming,growth fever,a physiological phenomenon due to the growth and development of the child,5,360.1011d
2035,仓禀之本,倉稟之本,cāng bǐng zhī běn,藏象,0,root of granary,0,0,5,360.1011d
2036,产门,產門,chǎn mén,藏象,0,vaginal orifice,vaginal orifice,0,5,360.1011d
2037,产育,產育,chǎn yù,藏象,0,childbirth and feeding of infant,delivery and feeding of infant,0,5,360.1011d
2038,传导失职,傳導失職,chuán dǎo shī zhí,藏象,0,failure to conduct and transmit,0,0,5,360.1011d
2039,传道之官,傳道之官,chuán dào zhī guān,藏象,0,officer in charge of transportation,officer in charge of transportation,0,5,360.1011d
2040,传化之府,傳化之府,chuán huà zhī fǔ,藏象,0,house of conveyance and transformation,house of conveyance and transformation,0,5,360.1011d
2041,大肠,大腸,dà cháng,藏象,large intestine,large intestine;large intestine;CO7,dachang;CO (7); large intestine,"one of the six bowels, which receives waste passed down from the small intestine and then forms it into stool before discharging it from the body",5,360.1011d
2042,胆,膽,dǎn,藏象,gallbladder,gallbladder,gallbladder,"one of the six bowels, which, connecting with the liver, stores and discharges bile",5,360.1011d
2043,胆气,膽氣,dǎn qì,藏象,gallbladder qi,gallbladder qi,gallbladder qi,"essential qi of the gallbladder, the physical substrata and dynamic force of the functional activities of the gallbladder",5,360.1011d
2044,胆主决断,膽主決斷,dǎn zhǔ jué duàn,藏象,0,the gallbladder governs decision,0,0,5,360.1011d
2045,发际,發際,fà jì,藏象,0,hairline,0,0,5,360.1011d
2046,肺,肺,fèi,藏象,lung,the lung; <in Western medicine or anatomy> lungs;lung;CO14,fei;CO (14); lung,"a pair of organs located in the thoracic cavity above the diaphragm, which control respiration, dominate qi, govern diffusion and depurative downbearing, regulate the waterways, and are closely related to the function of the nose and skin surface",5,360.1011d
2047,肺藏气,肺藏氣,fèi cáng qì,藏象,0,the lung stores the qi,lung storing qi,0,5,360.1011d
2048,肺藏于右,肺藏於右,fèi cáng yú yòu,藏象,0,lung qi is stored on the right,lung qi is stored in the right,0,5,360.1011d
2049,肺常不足,肺常不足,fèi cháng bù zú,藏象,0,the lung is often insufficient,lung being often in insufficiency,0,5,360.1011d
2050,肺朝百脉,肺朝百脈,fèi cháo bǎi mài,藏象,0,the lung links with all the vessels,lung linking with all vessels,0,5,360.1011d
2051,肺恶寒,肺惡寒,fèi è hán,藏象,0,the lung is averse to cold,lung being averse to cold,0,5,360.1011d
2052,肺合大肠,肺合大腸,fèi hé dà cháng,藏象,0,the lung is paired with the large intestine,lung and large intestine in pair,0,5,360.1011d
2053,肺合皮毛,肺合皮毛,fèi hé pí máo,藏象,0,the lung is connected to the skin and body hair,lung being related to skin and body hair,0,5,360.1011d
2054,肺气,肺氣,fèi qì,藏象,lung qi,lung qi,lung qi,"essential qi of the lung, the physical substrata and dynamic force of the functional activities of the lung",5,360.1011d
2055,肺肾同源,肺腎同源,fèi shèn tóng yuán,藏象,0,the lung and the kidney are from the same source,lung and kidney from same source,0,5,360.1011d
2056,肺肾相生,肺腎相生,fèi shèn xiāng shēng,藏象,0,mutual promotion between the lung and the kidney,mutual promotion between lung and kidney,0,5,360.1011d
2057,肺生皮毛,肺生皮毛,fèi shēng pí máo,藏象,0,the lung engenders the skin and body hair,lung promoting skin and body hair,0,5,360.1011d
2058,肺司呼吸,肺司呼吸,fèi sī hū xī,藏象,0,the lung controls breathing,lung controlling breathing,0,5,360.1011d
2059,肺为娇脏,肺為嬌髒,fèi wèi jiāo zàng,藏象,0,the lung is the delicate viscus,lung being delicate zang-organ,0,5,360.1011d
2060,肺为气之主,肺為氣之主,fèi wèi qì zhī zhǔ,藏象,0,the lung is the governor of qi,lung being dominator of qi,0,5,360.1011d
2061,肺为水之上源,肺為水之上源,fèi wèi shuǐ zhī shàng yuán,藏象,0,the lung is the upper source of water,lung being upper source of water,0,5,360.1011d
2062,肺为阳中之太阴,肺為陽中之太陰,fèi wèi yáng zhōng zhī tài yīn,藏象,0,the lung pertains to greater yin within yang,0,0,5,360.1011d
2063,肺阳,肺陽,fèi yáng,藏象,lung yang,lung yang,lung yang,"the yang aspect of the lung, referring to the warming, moving, ascending and diffusing functions of the lung",5,360.1011d
2064,肺阴,肺陰,fèi yīn,藏象,lung yin,lung yin,lung yin,"the opposite of lung yang, the yin fluid that moistens the lung, in coordination with lung qi",5,360.1011d
2065,肺者气之本,肺者氣之本,fèi zhě qì zhī běn,藏象,0,the lung is the foundation of the qi,lung being root of qi,0,5,360.1011d
2066,肺主行水,肺主行水,fèi zhǔ xíng shuǐ,藏象,0,the lung governs water movement; the lung governs the movement of water,lung governing water movement,0,5,360.1011d
2067,肺主皮毛,肺主皮毛,fèi zhǔ pí máo,藏象,0,the lung governs the skin and body hair,lung governing skin and body hair,0,5,360.1011d
2068,肺主气,肺主氣,fèi zhǔ qì,藏象,0,the lung governs the qi,lung governing qi,0,5,360.1011d
2069,肺主身之皮毛,肺主身之皮毛,fèi zhǔ shēn zhī pí máo,藏象,0,the lung governs the skin and body hair of the body,lung governing skin and body hair,0,5,360.1011d
2070,肺主肃降,肺主肅降,fèi zhǔ sù jiàng,藏象,0,the lung governs purification and descent,lung governing purification and descent,0,5,360.1011d
2071,肺主通调水道,肺主通調水道,fèi zhǔ tōng diào shuǐ dào,藏象,0,the lung governs regulation of the waterways,lung governing regulation of water passage,0,5,360.1011d
2072,肺主宣发,肺主宣發,fèi zhǔ xuān fā,藏象,0,the lung governs diffusion and dispersion,lung governing ascent and dispersion,0,5,360.1011d
2073,肺主治节,肺主治節,fèi zhǔ zhì jié,藏象,0,the lung governs management and regulation,lung governing management and regulation,0,5,360.1011d
2074,分娩,分娩,fēn miǎn,藏象,0,childbirth; parturition; delivery,childbirth; parturition; delivery,0,5,360.1011d
2075,风木之脏,風木之髒,fēng mù zhī zàng,藏象,0,the viscus of wind and wood,viscus of wind and wood,0,5,360.1011d
2076,腑,腑,fǔ,藏象,bowel,fu organ; bowel(s),fu-organ,"an internal organ where food is received, transported and digested",5,360.1011d
2077,腑气行于脏,腑氣行於髒,fǔ qì xíng yú zàng,藏象,0,the bowels transport qi to the viscera,fu-organs transporting qi to zang-organs,0,5,360.1011d
2078,腑输精于脏,腑輸精於髒,fǔ shū jīng yú zàng,藏象,0,the bowels transport essence to the viscera,fu-organs transporting essence to zang-organs,0,5,360.1011d
2079,肝,肝,gān,藏象,liver,the liver;liver;CO12,gan;CO (12); liver,"the organ located in the right hypochondrium below the diaphragm, which stores blood, facilitates the coursing of qi, and is closely related to the function of the sinews and eyes",5,360.1011d
2080,肝藏血,肝藏血,gān cáng xuè,藏象,0,the liver stores the blood,liver storing blood,0,5,360.1011d
2081,肝常有余,肝常有餘,gān cháng yǒu yú,藏象,0,the liver is often in superabundance,liver being often in superabundance,0,5,360.1011d
2082,肝恶风,肝惡風,gān è fēng,藏象,0,the liver is averse to wind,liver being averse to wind,0,5,360.1011d
2083,肝合胆,肝合膽,gān hé dǎn,藏象,0,the liver is paired with the gallbladder,liver and gallbladder in pair,0,5,360.1011d
2084,肝气,肝氣,gān qì,藏象,liver qi,liver qi,liver qi,"essential qi of the liver, the physical substrata and dynamic force of the functional activities of the liver",5,360.1011d
2085,肝肾同源,肝腎同源,gān shèn tóng yuán,藏象,homogeny of liver and kidney,liver and kidney are from the same source,liver and kidney from same source,"the liver and the kidney are intimately related, as they nourish and support each other, the blood stored in the liver and the essence stored in the kidney are of the same origin, and the ministerial fire present in both the liver and the kidney is from a common source",5,360.1011d
2086,肝生于左,肝生於左,gān shēng yú zuǒ,藏象,0,liver qi begins circulation from the left,liver qi begins circulation from the left,0,5,360.1011d
2087,肝体阴而用阳,肝體陰而用陽,gān tǐ yīn ér yòng yáng,藏象,0,the liver is yin in form but yang in function,yin in property and yang in function of liver,0,5,360.1011d
2088,肝为刚脏,肝為剛髒,gān wèi gāng zàng,藏象,0,the liver is the unyielding viscus,liver being firm-characterized zang organ,0,5,360.1011d
2089,肝为阳中之少阳,肝為陽中之少陽,gān wèi yáng zhōng zhī shǎo yáng,藏象,0,the liver pertains to lesser yang within yang,0,0,5,360.1011d
2090,肝系筋膜,肝系筋膜,gān xì jīn mó,藏象,0,the liver is connected with the sinew-membranes,0,0,5,360.1011d
2091,肝血,肝血,gān xuè,藏象,liver blood,liver blood,liver blood,"the blood that is stored in the liver and nourishes the liver system, including the liver itself, liver meridian, eyes, tendons and nails, as well as the whole body",5,360.1011d
2092,肝阳,肝陽,gān yáng,藏象,liver yang,liver yang,liver yang,"yang qi of the liver, opposite to liver yin, referring chiefly to the warming, upbearing and coursing-freeing function of the liver",5,360.1011d
2093,肝阴,肝陰,gān yīn,藏象,liver yin,liver yin,liver yin,"the opposite of liver yang, the liver essence-blood and the quiescent and nutritive aspect of liver function, which also inhibits overactivity of liver yang",5,360.1011d
2094,肝与胆相表里,肝與膽相表裏,gān yǔ dǎn xiāng biǎo lǐ,藏象,0,the interior-exterior relationship between the liver and gallbladder,interior-exterior relationship between liver and gallbladder,0,5,360.1011d
2095,肝者罢极之本,肝者罷極之本,gān zhě bà jí zhī běn,藏象,0,the liver is the basis of resistance to fatigue,liver being root of tolerance to fatigue,0,5,360.1011d
2096,肝主谋虑,肝主謀慮,gān zhǔ móu lǜ,藏象,0,the liver governs the designing of strategy,liver governing design of strategy,0,5,360.1011d
2097,肝主身之筋膜,肝主身之筋膜,gān zhǔ shēn zhī jīn mó,藏象,0,the liver governs the sinew-membranes of the body,liver governing tendons and ligaments,0,5,360.1011d
2098,肝主升发,肝主升發,gān zhǔ shēng fā,藏象,0,the liver governs ascent and dispersion,liver governing rise and dispersion,0,5,360.1011d
2099,肝主疏泄,肝主疏泄,gān zhǔ shū xiè,藏象,0,the liver governs the free flow of qi,liver governing free flow of qi,0,5,360.1011d
2100,肝主血海,肝主血海,gān zhǔ xuè hǎi,藏象,0,the liver governs the sea of blood,liver governing the sea of blood,0,5,360.1011d
2101,骨,骨,gǔ,藏象,bone,bone,0,"one of the extraordinary organs that forms the framework of the body, protects the internal organs and facilitates movement",5,360.1011d
2102,呼吸之门,呼吸之門,hū xī zhī mén,藏象,0,the gate of respiration; respiratory passage,respiratory passage,0,5,360.1011d
2103,回肠,回腸,huí cháng,藏象,0,ileum,ileum,0,5,360.1011d
2104,筋膜,筋膜,jīn mó,藏象,0,"① <TCM> sinew-membranes (jīn mó, 筋膜 = the tough and tenacious part of the muscles: what attaches to the joints is sinew; what covers the tendons is membrane [中医大辞典]) ② <Western medicine> fascia (BEWARE: not the same as the TCM concept of sinew-membranes)",0,0,5,360.1011d
2105,筋膜张弛,筋膜張弛,jīn mó zhāng chí,藏象,0,contraction and relaxation of the sinew-membranes,0,0,5,360.1011d
2106,精室,精室,jīng shì,藏象,essence chamber,essence chamber,①    semen chamber ②    mingmen,the part of the body where the semen is stored in a male,5,360.1011d
2107,临盆,臨盆,lín pén,藏象,0,childbirth; parturition; delivery,parturition,0,5,360.1011d
2108,六腑,六腑,liù fǔ,藏象,six bowels,the six fu organs; the six bowels,six fu-organs,"a collective term for the gallbladder, stomach, large intestine, small intestine, urinary bladder and triple energizers",5,360.1011d
2109,六腑以通为用,六腑以通為用,liù fǔ yǐ tōng wèi yòng,藏象,0,the six perform their functions when there is free flow,six fu-organs unobstructed in function,0,5,360.1011d
2110,脉,脈,mài,藏象,vessel,①vessel ②pulse,0,the conduit through which qi and blood pass,5,360.1011d
2111,脉者血之府,脈者血之府,mài zhě xuè zhī fǔ,藏象,0,the vessels are the house of blood,0,0,5,360.1011d
2112,泌别清浊,泌別清濁,mì bié qīng zhuó,藏象,0,separation of the clear and the turbid,separating lucid and turbid,0,5,360.1011d
2113,命门,命門,mìng mén,藏象,life gate,"<at first mention> mìng mén (gate of vitality, 命门); <thereafter> mìng mén;DU 4",Mingmen;GV 4,"(1) the place where qi transformation of the human body originates, serving as the root of life; (2) right kidney; (3) acupuncture point (GV4)",5,360.1011d
2114,命门之火,命門之火,mìng mén zhī huǒ,藏象,0,mìng mén fire,fire of life gate,0,5,360.1011d
2115,纳运水谷,納運水穀,nà yùn shuǐ gǔ,藏象,0,receive and transport food,0,0,5,360.1011d
2116,脑,腦,nǎo,藏象,brain,brain,brain,"one of the extraordinary organs enclosed within the skull where the marrow converges, and the spirit, mental activities as well as thinking take place",5,360.1011d
2117,脑户,腦戶,nǎo hù,藏象,back of the head,back of the head;DU 17,Naohu;GV 17,the occipital region,5,360.1011d
2118,脑筋,腦筋,nǎo jīn,藏象,0,① brain; mind; head ② brain sinew,0,0,5,360.1011d
2119,脑髓,腦髓,nǎo suǐ,藏象,0,brain marrow,0,0,5,360.1011d
2120,脑外包膜,腦外包膜,nǎo wài bāo mó,藏象,0,brain membranes,0,0,5,360.1011d
2121,泥丸,泥丸,ní wán,藏象,0,"① brain ② clay pellet (a point in the head used in Daoist meditation; níwán, 泥丸)",①brain ②upper dantian,0,5,360.1011d
2122,女子胞,女子胞,nǚ zǐ bāo,藏象,0,uterus,0,0,5,360.1011d
2123,女子以肝为先天,女子以肝為先天,nǚ zǐ yǐ gān wèi xiān tiān,藏象,0,the liver is the prenatal basis of women; women's prenatal basis is the liver,0,0,5,360.1011d
2124,膀胱,膀胱,páng guāng,藏象,0,bladder;urinary bladder;CO9,Pangguang;CO (9); bladder,0,5,360.1011d
2125,膀胱气化,膀胱氣化,páng guāng qì huà,藏象,bladder qi transformation,bladder qi transformation,bladder qi transformation,"the function of the bladder in storing and discharging urine, based on qi transformation of the kidney",5,360.1011d
2126,脾,脾,pí,藏象,spleen,the spleen;spleen;CO13,pi;CO (13); spleen,"the organ located in the middle energizer below the diaphragm, whose main function is to transport and transform food, upbear the clear substances, keep the blood flowing within the vessels, and is closely related to the limbs and flesh",5,360.1011d
2127,脾不主时,脾不主時,pí bù zhǔ shí,藏象,0,the spleen does not have a dominant season; the spleen is without a dominant season,spleen having non-dominant season,0,5,360.1011d
2128,脾藏肉,脾藏肉,pí cáng ròu,藏象,0,the spleen stores the flesh,spleen storing flesh,0,5,360.1011d
2129,脾藏营，营舍意,脾藏營，營舍意,pí cáng yíng ， yíng shě yì,藏象,0,"the spleen stores nutrients, and nutrients house reflection",0,0,5,360.1011d
2130,脾常不足,脾常不足,pí cháng bù zú,藏象,0,the spleen is often insufficient,spleen being often in insufficiency,0,5,360.1011d
2131,脾恶湿,脾惡濕,pí è shī,藏象,0,the spleen is averse to dampness,spleen being averse to dampness,0,5,360.1011d
2132,脾合胃,脾合胃,pí hé wèi,藏象,0,the spleen is paired with the stomach,spleen and stomach in pair,0,5,360.1011d
2133,脾气,脾氣,pí qì,藏象,spleen qi,spleen qi,spleen qi,"essential qi of the spleen, the physical substrata and dynamic force of the functional activities of the spleen",5,360.1011d
2134,脾统血,脾統血,pí tǒng xuè,藏象,0,the spleen controls the blood (keeps it within the vessels),spleen controlling blood,0,5,360.1011d
2135,脾旺不受邪,脾旺不受邪,pí wàng bù shòu xié,藏象,0,a vigorous spleen allows the body to resist pathogens,strong spleen being pathogen resistant,0,5,360.1011d
2136,脾为后天之本,脾為後天之本,pí wèi hòu tiān zhī běn,藏象,0,the spleen is the foundation of acquired (postnatal) constitution,spleen being acquired foundation,0,5,360.1011d
2137,脾为胃行其津液,脾為胃行其津液,pí wèi wèi xíng qí jīn yè,藏象,0,the spleen transports the body fluids for the stomach,0,0,5,360.1011d
2138,脾为至阴,脾為至陰,pí wèi zhì yīn,藏象,0,the spleen pertains to the beginning of yin,spleen pertaining to beginning of yin,0,5,360.1011d
2139,脾胃为气血生化之源,脾胃為氣血生化之源,pí wèi wèi qì xuè shēng huà zhī yuán,藏象,0,the spleen and stomach are the source of qi and blood production,0,0,5,360.1011d
2140,脾阳,脾陽,pí yáng,藏象,spleen yang,spleen yang,spleen yang,"the yang aspect of the spleen, which refers to the promotion of spleen functions including transporting, transforming, upbearing and warming actions",5,360.1011d
2141,脾阴,脾陰,pí yīn,藏象,spleen yin,spleen yin,spleen yin,"yin fluid of the spleen, in opposition to spleen yang, referring to the moistening, nourishing and astringing aspect of the spleen",5,360.1011d
2142,脾主后天,脾主後天,pí zhǔ hòu tiān,藏象,0,the spleen governs acquired (postnatal) constitution,spleen governing acquirement,0,5,360.1011d
2143,脾主肌肉,脾主肌肉,pí zhǔ jī ròu,藏象,0,the spleen governs the muscles,spleen governing muscles,0,5,360.1011d
2144,脾主身之肌肉,脾主身之肌肉,pí zhǔ shēn zhī jī ròu,藏象,0,the spleen governs the muscles of the body,spleen governing muscles of body,0,5,360.1011d
2145,脾主升清,脾主升清,pí zhǔ shēng qīng,藏象,0,the spleen governs ascent of the clear,spleen governing rise of the clear,0,5,360.1011d
2146,脾主四肢,脾主四肢,pí zhǔ sì zhī,藏象,0,the spleen governs the four limbs,spleen governing four limbs,0,5,360.1011d
2147,脾主统血,脾主統血,pí zhǔ tǒng xuè,藏象,0,the spleen governs control of the blood,0,0,5,360.1011d
2148,脾主运化,脾主運化,pí zhǔ yùn huà,藏象,0,the spleen governs transportation and transformation,spleen governing transportation and transformation,0,5,360.1011d
2149,奇恒之腑,奇恒之腑,qí héng zhī fǔ,藏象,extraordinary organs,extraordinary fu organ(s); extraordinary bowel(s),extraordinary fu-organ,"a collective term for the brain, marrow, bones, blood vessels, gallbladder and uterus. They are called",5,360.1011d
2150,人胞,人胞,rén bāo,藏象,0,placenta,placenta,0,5,360.1011d
2151,妊娠,妊娠,rèn shēn,藏象,0,pregnancy,pregnancy,0,5,360.1011d
2152,三焦,三焦,sān jiāo,藏象,triple energizers,sanjiao;sanjiao;CO17,sanjiao;CO (17); triple energizer,"a collective term for the three portions of the body cavity, through which the visceral qi is transformed, also widely known as triple burners",5,360.1011d
2153,上焦,上焦,shàng jiāo,藏象,upper energizer,upper jiao,upper energizer,"the chest cavity, i.e., the portion above the diaphragm housing the heart and lung, also known as upper burner",5,360.1011d
2154,上焦如雾,上焦如霧,shàng jiāo rú wù,藏象,0,the upper jiao is like a mist,upper energizer as sprayer,0,5,360.1011d
2155,上焦主纳,上焦主納,shàng jiāo zhǔ nà,藏象,0,the upper jiao governs reception,upper energizer governing reception,0,5,360.1011d
2156,神明,神明,shén míng,藏象,bright spirit,mental activity; mind; spirit,mental activity; bright spirit,"all the human life activities including mind, will, mood and thinking, governed by the heart",5,360.1011d
2157,神志,神志,shén zhì,藏象,0,the (conscious) mind,0,0,5,360.1011d
2158,肾,腎,shèn,藏象,kidney,kidney (Western medicine or anatomy: kidneys);kidney;CO10,shen;CO (10); kidney,"a pair of organs located in the lumbar region, which store vital essence, promote growth, development, reproduction, and urinary function, and also have a direct effect on the condition of the bone and marrow, activities of the brain, hearing and inspiratory function of the respiratory system",5,360.1011d
2159,肾藏精,腎藏精,shèn cáng jīng,藏象,0,the kidney stores the essence,kidney storing essence,0,5,360.1011d
2160,肾藏志,腎藏志,shèn cáng zhì,藏象,0,the kidney stores the will,kidney storing will,0,5,360.1011d
2161,肾恶燥,腎惡燥,shèn è zào,藏象,0,the kidney is averse to dryness,kidney being averse to dryness,0,5,360.1011d
2162,肾合膀胱,腎合膀胱,shèn hé páng guāng,藏象,0,the kidney is paired with the bladder,kidney and bladder in pair,0,5,360.1011d
2163,肾间动气,腎間動氣,shèn jiān dòng qì,藏象,stirring qi of the kidney region,the stirring qi of the kidney region,motive qi between kidneys,"that part of genuine qi stored between the kidneys, as the motive force necessary for all the activities of the body, also known as motive force of the kidney region",5,360.1011d
2164,肾精,腎精,shèn jīng,藏象,kidney essence,kidney essence,kidney essence,the original essence stored in the kidney,5,360.1011d
2165,肾气,腎氣,shèn qì,藏象,kidney qi,kidney qi,kidney qi,"essential qi of the kidney, the physical substrata and dynamic force of the functional activities of the kidney",5,360.1011d
2166,肾为气之根,腎為氣之根,shèn wèi qì zhī gēn,藏象,0,the kidney is the root of the qi,kidney being root of qi,0,5,360.1011d
2167,肾为先天之本,腎為先天之本,shèn wèi xiān tiān zhī běn,藏象,0,the kidney is the foundation of congenital (prenatal) constitution,kidney being innate foundation,0,5,360.1011d
2168,肾为阴中之少阴,腎為陰中之少陰,shèn wèi yīn zhōng zhī shǎo yīn,藏象,0,the kidney pertains to lesser yin within yin,0,0,5,360.1011d
2169,肾阳,腎陽,shèn yáng,藏象,kidney yang,kidney yang,kidney yang,"the yang aspect of the kidney, which warms and activates all organs",5,360.1011d
2170,肾阴,腎陰,shèn yīn,藏象,kidney yin,kidney yin,kidney yin,"the yin aspect of the kidney, which has a moistening, nourishing and cooling effect on all organs",5,360.1011d
2171,肾者封藏之本,腎者封藏之本,shèn zhě fēng cáng zhī běn,藏象,0,the kidney is dominator of storing essence,kidney being dominator of storing essence,0,5,360.1011d
2172,肾者水脏主津液,腎者水髒主津液,shèn zhě shuǐ zàng zhǔ jīn yè,藏象,0,the kidney is a water viscus and governs the body fluids,0,0,5,360.1011d
2173,肾者主水,腎者主水,shèn zhě zhǔ shuǐ,藏象,0,the kidney governs water,kidney governing water,0,5,360.1011d
2174,肾主纳气,腎主納氣,shèn zhǔ nà qì,藏象,0,the kidney governs qi reception,kidney governing qi reception,0,5,360.1011d
2175,肾主身之骨髓,腎主身之骨髓,shèn zhǔ shēn zhī gǔ suǐ,藏象,0,the kidney governs bone marrow,kidney governing bone marrow,0,5,360.1011d
2176,肾主生殖,腎主生殖,shèn zhǔ shēng zhí,藏象,0,the kidney governs reproduction,kidney governing reproduction,0,5,360.1011d
2177,肾主水液,腎主水液,shèn zhǔ shuǐ yè,藏象,0,the kidney governs water,kidney governing water,0,5,360.1011d
2178,肾主先天,腎主先天,shèn zhǔ xiān tiān,藏象,0,the kidney governs congenital constitution,kidney governing innateness,0,5,360.1011d
2179,疏泄失常,疏泄失常,shū xiè shī cháng,藏象,0,disorderly qi flow,0,0,5,360.1011d
2180,水火既济,水火既濟,shuǐ huǒ jì jì,藏象,0,coordination between water and fire,coordination between water and fire,0,5,360.1011d
2181,水火之脏,水火之髒,shuǐ huǒ zhī zàng,藏象,0,viscus of water and fire (referring to the kidney),zang-organ of water and fire,0,5,360.1011d
2182,四时五脏阴阳,四時五臟陰陽,sì shí wǔ zàng yīn yáng,藏象,0,yin-yang of the four seasons and the five viscera,yin-yang of four seasons and five zang-organs,0,5,360.1011d
2183,胎衣,胎衣,tāi yī,藏象,0,placenta,placenta,0,5,360.1011d
2184,胎孕,胎孕,tāi yùn,藏象,0,pregnancy,pregnancy,0,5,360.1011d
2185,体阴用阳,體陰用陽,tǐ yīn yòng yáng,藏象,0,yin in form but yang in function,0,0,5,360.1011d
2186,天癸,天癸,tiān guǐ,藏象,heavenly tenth,"tiān guǐ (reproduction-stimulating essence, corresponds with the tenth heavenly stem; 天癸)",reproduction-stimulating essence,"that upon which development of the reproductive organs and maintenance of reproductive function depends, derived from the kidney essence when it is abundant, also called (female) sex-stimulating essence/menstruation",5,360.1011d
2187,天气通于肺,天氣通於肺,tiān qì tōng yú fèi,藏象,0,celestial qi communicates with the lung,celestial qi communicating with lung,0,5,360.1011d
2188,通调水道,通調水道,tōng diào shuǐ dào,藏象,regulate the waterways,free and regulate the waterways,dredging and regulating water passage,dredge and regulate the pathway of water metabolism,5,360.1011d
2189,统摄,統攝,tǒng shè,藏象,0,control,0,0,5,360.1011d
2190,头者精明之府,頭者精明之府,tóu zhě jīng míng zhī fǔ,藏象,0,the head is the house of bright essence,0,0,5,360.1011d
2191,胃,胃,wèi,藏象,stomach,stomach;stomach;CO4,wei;CO (4); stomache,"one of the six bowels, whose main function is to receive and initiate food digestion",5,360.1011d
2192,胃津,胃津,wèi jīn,藏象,stomach fluid,stomach fluid,stomach fluid,"fluid of the stomach, the same as stomach yin",5,360.1011d
2193,胃口,胃口,wèi kǒu,藏象,0,appetite,appetite,0,5,360.1011d
2194,胃气,胃氣,wèi qì,藏象,stomach qi,stomach qi,stomach qi,"essential qi of the stomach, the physical substrata and dynamic force of the functional activities of the stomach. Also used to denote a state of basic vitality detected by examination of the radial pulse",5,360.1011d
2195,胃气主降,胃氣主降,wèi qì zhǔ jiàng,藏象,0,stomach qi governs descent,stomach qi governing descending,0,5,360.1011d
2196,胃阳,胃陽,wèi yáng,藏象,stomach yang,stomach yang,stomach yang,"the opposite of stomach yin, the yang qi of the stomach, referring to the activity or function of the stomach in food intake and preliminary digestion",5,360.1011d
2197,胃阴,胃陰,wèi yīn,藏象,stomach yin,stomach yin,stomach yin,"the opposite of stomach yang, the fluids of the stomach necessary for maintaining normal food intake and preliminary digestion in coordination with stomach yang",5,360.1011d
2198,胃者水谷之海,胃者水穀之海,wèi zhě shuǐ gǔ zhī hǎi,藏象,0,the stomach is the reservoir of water and grain (food and drinks),stomach being reservoir of water and grain,0,5,360.1011d
2199,胃主腐熟,胃主腐熟,wèi zhǔ fǔ shú,藏象,0,the stomach governs decomposition (of  and drinks),stomach governing decomposition,0,5,360.1011d
2200,胃主降浊,胃主降濁,wèi zhǔ jiàng zhuó,藏象,0,the stomach governs descent of the turbid,stomach governing descent of the turbid,0,5,360.1011d
2201,胃主受纳,胃主受納,wèi zhǔ shòu nà,藏象,0,the stomach governs intake (of food and drinks),stomach governing reception,0,5,360.1011d
2202,五华,五華,wǔ huá,藏象,0,five outward manifestations [of the health of the organs],five outward manifestations,0,5,360.1011d
2203,五脏,五臟,wǔ zàng,藏象,five viscera,the five zang organs; the five viscera,five zang-organs,"a collective term for the heart, liver, spleen, lung and kidney",5,360.1011d
2204,五脏化液,五臟化液,wǔ zàng huà yè,藏象,0,thick fluids (humors) formed by the five viscera,secretions transformed from five zang-organs,0,5,360.1011d
2205,五脏所藏,五臟所藏,wǔ zàng suǒ cáng,藏象,0,substances stored in the five viscera,substance stored in five zang-organs,0,5,360.1011d
2206,五脏所恶,五臟所惡,wǔ zàng suǒ è,藏象,0,aversions of the five viscera,aversions of five zang-organs,0,5,360.1011d
